t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,202.6691,12.0000
0.0420,200.0000,204.9634,9.1975
0.0430,200.0000,205.7718,6.6549
0.0440,200.0000,205.5686,5.5580
0.0450,200.0000,205.0195,5.4828
0.0460,200.0000,204.5182,5.7809
0.0470,200.0000,204.1734,6.0562
0.0480,200.0000,203.9473,6.1924
0.0490,200.0000,203.7737,6.2211
0.0500,200.0000,203.6098,6.2061
0.0510,200.0000,203.4418,6.1894
0.0520,200.0000,203.2717,6.1853
0.0530,200.0000,203.1054,6.1919
0.0540,200.0000,202.9469,6.2029
0.0550,200.0000,202.7977,6.2140
0.0560,200.0000,202.6570,6.2234
0.0570,200.0000,202.5239,6.2312
0.0580,200.0000,202.3975,6.2382
0.0590,200.0000,202.2774,6.2447
0.0600,200.0000,202.1632,6.2509
0.0610,200.0000,202.0546,6.2570
0.0620,200.0000,201.9515,6.2628
0.0630,200.0000,201.8536,6.2683
0.0640,200.0000,201.7606,6.2736
0.0650,200.0000,201.6722,6.2785
0.0660,200.0000,201.5883,6.2833
0.0670,200.0000,201.5087,6.2877
0.0680,200.0000,201.4330,6.2920
0.0690,200.0000,201.3611,6.2960
0.0700,200.0000,201.2928,6.2998
0.0710,200.0000,201.2280,6.3035
0.0720,200.0000,201.1664,6.3069
0.0730,200.0000,201.1078,6.3102
0.0740,200.0000,201.0523,6.3133
0.0750,200.0000,200.9995,6.3163
0.0760,200.0000,200.9493,6.3191
0.0770,200.0000,200.9017,6.3218
0.0780,200.0000,200.8565,6.3243
0.0790,200.0000,200.8135,6.3267
0.0800,200.0000,200.7727,6.3290
0.0810,200.0000,200.7339,6.3313
0.0820,200.0000,200.6971,6.3333
0.0830,200.0000,200.6622,6.3353
0.0840,200.0000,200.6289,6.3371
0.0850,200.0000,200.5973,6.3389
0.0860,200.0000,200.5673,6.3406
0.0870,200.0000,200.5388,6.3423
0.0880,200.0000,200.5119,6.3438
0.0890,200.0000,200.4862,6.3452
0.0900,200.0000,200.4618,6.3465
0.0910,200.0000,200.4387,6.3478
0.0920,200.0000,200.4167,6.3491
0.0930,200.0000,200.3958,6.3502
0.0940,200.0000,200.3758,6.3513
0.0950,200.0000,200.3570,6.3525
0.0960,200.0000,200.3392,6.3534
0.0970,200.0000,200.3222,6.3543
0.0980,200.0000,200.3060,6.3552
0.0990,200.0000,200.2906,6.3561
0.1000,200.0000,200.2760,6.3570
0.1010,200.0000,200.2621,6.3578
0.1020,200.0000,200.2490,6.3585
0.1030,200.0000,200.2366,6.3592
0.1040,200.0000,200.2247,6.3598
0.1050,200.0000,200.2133,6.3604
0.1060,200.0000,200.2026,6.3612
0.1070,200.0000,200.1925,6.3618
0.1080,200.0000,200.1828,6.3622
0.1090,200.0000,200.1737,6.3627
0.1100,200.0000,200.1651,6.3632
0.1110,200.0000,200.1567,6.3636
0.1120,200.0000,200.1489,6.3641
0.1130,200.0000,200.1413,6.3645
0.1140,200.0000,200.1343,6.3650
0.1150,200.0000,200.1274,6.3653
0.1160,200.0000,200.1212,6.3658
0.1170,200.0000,200.1151,6.3660
0.1180,200.0000,200.1092,6.3663
0.1190,200.0000,200.1039,6.3667
0.1200,200.0000,200.0985,6.3669
0.1210,200.0000,200.0937,6.3673
0.1220,200.0000,200.0891,6.3675
0.1230,200.0000,200.0845,6.3676
0.1240,200.0000,200.0800,6.3679
0.1250,200.0000,200.0762,6.3684
0.1260,200.0000,200.0724,6.3684
0.1270,200.0000,200.0686,6.3686
0.1280,200.0000,200.0653,6.3690
0.1290,200.0000,200.0623,6.3690
0.1300,200.0000,200.0592,6.3689
0.1310,200.0000,200.0562,6.3690
0.1320,200.0000,200.0531,6.3693
0.1330,200.0000,200.0504,6.3697
0.1340,200.0000,200.0481,6.3699
0.1350,200.0000,200.0458,6.3698
0.1360,200.0000,200.0435,6.3698
0.1370,200.0000,200.0412,6.3699
0.1380,200.0000,200.0389,6.3701
0.1390,200.0000,200.0368,6.3705
0.1400,200.0000,200.0353,6.3708
0.1410,200.0000,200.0338,6.3705
0.1420,200.0000,200.0322,6.3704
0.1430,200.0000,200.0307,6.3703
0.1440,200.0000,200.0292,6.3703
0.1450,200.0000,200.0276,6.3703
0.1460,200.0000,200.0261,6.3705
0.1470,200.0000,200.0246,6.3707
0.1480,200.0000,200.0231,6.3710
0.1490,200.0000,200.0219,6.3714
0.1500,200.0000,200.0211,6.3715
0.1510,200.0000,200.0203,6.3712
0.1520,200.0000,200.0189,6.3709
0.1530,200.0000,200.0180,6.3714
0.1540,200.0000,200.0172,6.3714
0.1550,200.0000,200.0165,6.3713
0.1560,200.0000,200.0157,6.3713
0.1570,200.0000,200.0149,6.3713
0.1580,200.0000,200.0142,6.3713
0.1590,200.0000,200.0134,6.3713
0.1600,200.0000,200.0126,6.3714
0.1610,200.0000,200.0119,6.3715
0.1620,200.0000,200.0111,6.3717
0.1630,200.0000,200.0104,6.3719
0.1640,200.0000,200.0096,6.3722
0.1650,200.0000,200.0096,6.3724
0.1660,200.0000,200.0092,6.3720
