t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,202.6691,12.0000
0.0420,200.0000,204.9982,9.3043
0.0430,200.0000,205.9174,6.9251
0.0440,200.0000,205.9007,5.9468
0.0450,200.0000,205.5764,5.9045
0.0460,200.0000,205.2975,6.1730
0.0470,200.0000,205.1500,6.3989
0.0480,200.0000,205.0930,6.4949
0.0490,200.0000,205.0676,6.5010
0.0500,200.0000,205.0394,6.4758
0.0510,200.0000,204.9998,6.4535
0.0520,200.0000,204.9519,6.4431
0.0530,200.0000,204.9016,6.4415
0.0540,200.0000,204.8517,6.4428
0.0550,200.0000,204.8033,6.4442
0.0560,200.0000,204.7563,6.4445
0.0570,200.0000,204.7101,6.4439
0.0580,200.0000,204.6643,6.4431
0.0590,200.0000,204.6188,6.4422
0.0600,200.0000,204.5738,6.4415
0.0610,200.0000,204.5292,6.4408
0.0620,200.0000,204.4849,6.4401
0.0630,200.0000,204.4413,6.4395
0.0640,200.0000,204.3978,6.4388
0.0650,200.0000,204.3551,6.4383
0.0660,200.0000,204.3125,6.4374
0.0670,200.0000,204.2705,6.4369
0.0680,200.0000,204.2287,6.4362
0.0690,200.0000,204.1875,6.4357
0.0700,200.0000,204.1466,6.4350
0.0710,200.0000,204.1062,6.4345
0.0720,200.0000,204.0661,6.4338
0.0730,200.0000,204.0264,6.4332
0.0740,200.0000,203.9871,6.4327
0.0750,200.0000,203.9482,6.4321
0.0760,200.0000,203.9097,6.4315
0.0770,200.0000,203.8716,6.4309
0.0780,200.0000,203.8338,6.4303
0.0790,200.0000,203.7964,6.4298
0.0800,200.0000,203.7593,6.4292
0.0810,200.0000,203.7227,6.4287
0.0820,200.0000,203.6863,6.4281
0.0830,200.0000,203.6505,6.4276
0.0840,200.0000,203.6147,6.4270
0.0850,200.0000,203.5796,6.4266
0.0860,200.0000,203.5445,6.4259
0.0870,200.0000,203.5101,6.4255
0.0880,200.0000,203.4758,6.4248
0.0890,200.0000,203.4418,6.4244
0.0900,200.0000,203.4083,6.4239
0.0910,200.0000,203.3749,6.4234
0.0920,200.0000,203.3421,6.4230
0.0930,200.0000,203.3093,6.4224
0.0940,200.0000,203.2773,6.4221
0.0950,200.0000,203.2453,6.4213
0.0960,200.0000,203.2135,6.4209
0.0970,200.0000,203.1822,6.4205
0.0980,200.0000,203.1510,6.4200
0.0990,200.0000,203.1205,6.4197
0.1000,200.0000,203.0900,6.4190
0.1010,200.0000,203.0598,6.4186
0.1020,200.0000,203.0300,6.4183
0.1030,200.0000,203.0002,6.4177
0.1040,200.0000,202.9712,6.4175
0.1050,200.0000,202.9422,6.4168
0.1060,200.0000,202.9133,6.4163
0.1070,200.0000,202.8851,6.4161
0.1080,200.0000,202.8568,6.4155
0.1090,200.0000,202.8289,6.4152
0.1100,200.0000,202.8014,6.4148
0.1110,200.0000,202.7740,6.4143
0.1120,200.0000,202.7470,6.4140
0.1130,200.0000,202.7203,6.4135
0.1140,200.0000,202.6936,6.4130
0.1150,200.0000,202.6674,6.4128
0.1160,200.0000,202.6414,6.4123
0.1170,200.0000,202.6155,6.4119
0.1180,200.0000,202.5900,6.4116
0.1190,200.0000,202.5649,6.4112
0.1200,200.0000,202.5397,6.4107
0.1210,200.0000,202.5149,6.4105
0.1220,200.0000,202.4905,6.4101
0.1230,200.0000,202.4661,6.4096
0.1240,200.0000,202.4420,6.4094
0.1250,200.0000,202.4183,6.4091
0.1260,200.0000,202.3947,6.4085
0.1270,200.0000,202.3711,6.4082
0.1280,200.0000,202.3482,6.4081
0.1290,200.0000,202.3253,6.4075
0.1300,200.0000,202.3025,6.4071
0.1310,200.0000,202.2801,6.4070
0.1320,200.0000,202.2579,6.4066
0.1330,200.0000,202.2358,6.4061
0.1340,200.0000,202.2138,6.4059
0.1350,200.0000,202.1925,6.4057
0.1360,200.0000,202.1711,6.4052
0.1370,200.0000,202.1497,6.4048
0.1380,200.0000,202.1288,6.4047
0.1390,200.0000,202.1082,6.4043
0.1400,200.0000,202.0876,6.4039
0.1410,200.0000,202.0670,6.4036
0.1420,200.0000,202.0470,6.4035
0.1430,200.0000,202.0271,6.4031
0.1440,200.0000,202.0073,6.4026
0.1450,200.0000,201.9875,6.4024
0.1460,200.0000,201.9683,6.4024
0.1470,200.0000,201.9492,6.4019
0.1480,200.0000,201.9301,6.4014
0.1490,200.0000,201.9111,6.4012
0.1500,200.0000,201.8925,6.4012
0.1510,200.0000,201.8742,6.4008
0.1520,200.0000,201.8559,6.4003
0.1530,200.0000,201.8376,6.4001
0.1540,200.0000,201.8197,6.4000
0.1550,200.0000,201.8021,6.3998
0.1560,200.0000,201.7846,6.3993
0.1570,200.0000,201.7670,6.3990
0.1580,200.0000,201.7495,6.3989
0.1590,200.0000,201.7328,6.3989
0.1600,200.0000,201.7160,6.3983
0.1610,200.0000,201.6992,6.3979
0.1620,200.0000,201.6824,6.3977
0.1630,200.0000,201.6660,6.3977
0.1640,200.0000,201.6499,6.3975
0.1650,200.0000,201.6339,6.3970
0.1660,200.0000,201.6179,6.3967
