t,setpoint,omega,u
0.1670,200.0000,200.0024,6.3718
0.1680,200.0000,200.0024,6.3722
0.1690,200.0000,200.0024,6.3721
0.1700,200.0000,200.0024,6.3720
0.1710,200.0000,200.0024,6.3719
0.1720,200.0000,200.0016,6.3718
0.1730,200.0000,200.0015,6.3724
0.1740,200.0000,200.0015,6.3724
0.1750,200.0000,200.0015,6.3724
0.1760,200.0000,200.0015,6.3723
0.1770,200.0000,200.0015,6.3722
0.1780,200.0000,200.0015,6.3721
0.1790,200.0000,200.0015,6.3720
0.1800,200.0000,200.0015,6.3720
0.1810,200.0000,200.0015,6.3719
0.1820,200.0000,200.0009,6.3718
0.1830,200.0000,200.0009,6.3724
0.1840,200.0000,200.0009,6.3724
0.1850,200.0000,200.0009,6.3723
0.1860,200.0000,200.0009,6.3723
0.1870,200.0000,200.0009,6.3722
0.1880,200.0000,200.0009,6.3722
0.1890,200.0000,200.0009,6.3721
0.1900,200.0000,200.0009,6.3721
0.1910,200.0000,200.0009,6.3720
0.1920,200.0000,200.0009,6.3720
0.1930,200.0000,200.0009,6.3720
0.1940,200.0000,200.0009,6.3719
0.1950,200.0000,200.0009,6.3719
0.1960,200.0000,200.0004,6.3718
0.1970,200.0000,200.0004,6.3723
0.1980,200.0000,200.0004,6.3723
0.1990,200.0000,200.0004,6.3723
0.2000,200.0000,200.0004,6.3723
0.2010,200.0000,200.0004,6.3723
0.2020,200.0000,200.0004,6.3723
0.2030,200.0000,200.0004,6.3722
0.2040,200.0000,200.0004,6.3722
0.2050,200.0000,200.0004,6.3722
0.2060,200.0000,200.0004,6.3722
0.2070,200.0000,200.0004,6.3722
0.2080,200.0000,200.0004,6.3722
0.2090,200.0000,200.0004,6.3721
0.2100,200.0000,200.0004,6.3721
0.2110,200.0000,200.0004,6.3721
0.2120,200.0000,200.0004,6.3721
0.2130,200.0000,200.0004,6.3721
0.2140,200.0000,200.0004,6.3721
0.2150,200.0000,200.0004,6.3720
0.2160,200.0000,200.0004,6.3720
0.2170,200.0000,200.0004,6.3720
0.2180,200.0000,200.0004,6.3720
0.2190,200.0000,200.0004,6.3720
0.2200,200.0000,200.0004,6.3719
0.2210,200.0000,200.0004,6.3719
0.2220,200.0000,200.0004,6.3719
0.2230,200.0000,200.0004,6.3719
0.2240,200.0000,200.0004,6.3719
0.2250,200.0000,200.0004,6.3719
0.2260,200.0000,200.0004,6.3718
0.2270,200.0000,199.9999,6.3718
0.2280,200.0000,199.9998,6.3723
0.2290,200.0000,199.9998,6.3723
0.2300,200.0000,199.9998,6.3723
0.2310,200.0000,199.9998,6.3724
0.2320,200.0000,199.9998,6.3724
0.2330,200.0000,199.9998,6.3724
0.2340,200.0000,199.9998,6.3724
0.2350,200.0000,199.9998,6.3724
0.2360,200.0000,199.9998,6.3724
0.2370,200.0000,199.9998,6.3724
0.2380,200.0000,199.9998,6.3724
0.2390,200.0000,199.9998,6.3724
0.2400,200.0000,199.9998,6.3724
0.2410,200.0000,199.9998,6.3724
0.2420,200.0000,199.9998,6.3724
0.2430,200.0000,199.9998,6.3724
0.2440,200.0000,199.9998,6.3725
0.2450,200.0000,199.9998,6.3725
0.2460,200.0000,199.9998,6.3725
0.2470,200.0000,199.9998,6.3725
0.2480,200.0000,199.9998,6.3725
0.2490,200.0000,199.9998,6.3725
0.2500,200.0000,199.9998,6.3725
0.2510,200.0000,199.9998,6.3725
0.2520,200.0000,199.9998,6.3725
0.2530,200.0000,199.9998,6.3725
0.2540,200.0000,199.9998,6.3725
0.2550,200.0000,199.9998,6.3725
0.2560,200.0000,199.9998,6.3725
0.2570,200.0000,199.9998,6.3726
0.2580,200.0000,199.9998,6.3726
0.2590,200.0000,199.9998,6.3726
0.2600,200.0000,199.9998,6.3726
0.2610,200.0000,199.9998,6.3726
0.2620,200.0000,199.9998,6.3726
0.2630,200.0000,199.9998,6.3726
0.2640,200.0000,199.9998,6.3726
0.2650,200.0000,199.9998,6.3726
0.2660,200.0000,199.9998,6.3726
0.2670,200.0000,199.9998,6.3726
0.2680,200.0000,199.9998,6.3726
0.2690,200.0000,199.9998,6.3726
0.2700,200.0000,199.9998,6.3727
0.2710,200.0000,199.9998,6.3727
0.2720,200.0000,199.9998,6.3727
0.2730,200.0000,199.9998,6.3727
0.2740,200.0000,199.9998,6.3727
0.2750,200.0000,199.9998,6.3727
0.2760,200.0000,199.9998,6.3727
0.2770,200.0000,199.9998,6.3727
0.2780,200.0000,199.9998,6.3727
0.2790,200.0000,199.9998,6.3727
0.2800,200.0000,199.9998,6.3727
0.2810,200.0000,199.9998,6.3727
0.2820,200.0000,199.9998,6.3727
0.2830,200.0000,199.9998,6.3728
0.2840,200.0000,199.9998,6.3728
0.2850,200.0000,199.9998,6.3728
0.2860,200.0000,199.9998,6.3728
0.2870,200.0000,199.9998,6.3728
