t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,198.4689,9.1444
0.0410,200.0000,200.0634,8.7336
0.0420,200.0000,201.4598,8.7471
0.0430,200.0000,202.4795,7.7321
0.0440,200.0000,203.1602,7.4411
0.0450,200.0000,203.7236,7.4067
0.0460,200.0000,204.1373,7.0408
0.0470,200.0000,204.4098,6.8849
0.0480,200.0000,204.6210,6.8510
0.0490,200.0000,204.7708,6.7161
0.0500,200.0000,204.8621,6.6413
0.0510,200.0000,204.9238,6.6184
0.0520,200.0000,204.9596,6.5668
0.0530,200.0000,204.9715,6.5329
0.0540,200.0000,204.9696,6.5194
0.0550,200.0000,204.9570,6.4990
0.0560,200.0000,204.9346,6.4836
0.0570,200.0000,204.9061,6.4762
0.0580,200.0000,204.8732,6.4677
0.0590,200.0000,204.8365,6.4608
0.0600,200.0000,204.7973,6.4566
0.0610,200.0000,204.7565,6.4529
0.0620,200.0000,204.7143,6.4495
0.0630,200.0000,204.6715,6.4473
0.0640,200.0000,204.6277,6.4443
0.0650,200.0000,204.5840,6.4441
0.0660,200.0000,204.5400,6.4416
0.0670,200.0000,204.4961,6.4409
0.0680,200.0000,204.4526,6.4397
0.0690,200.0000,204.4089,6.4378
0.0700,200.0000,204.3654,6.4379
0.0710,200.0000,204.3227,6.4371
0.0720,200.0000,204.2800,6.4352
0.0730,200.0000,204.2373,6.4351
0.0740,200.0000,204.1955,6.4353
0.0750,200.0000,204.1537,6.4334
0.0760,200.0000,204.1125,6.4338
0.0770,200.0000,204.0716,6.4324
0.0780,200.0000,204.0312,6.4321
0.0790,200.0000,203.9910,6.4313
0.0800,200.0000,203.9514,6.4310
0.0810,200.0000,203.9121,6.4302
0.0820,200.0000,203.8732,6.4296
0.0830,200.0000,203.8345,6.4290
0.0840,200.0000,203.7964,6.4287
0.0850,200.0000,203.7587,6.4279
0.0860,200.0000,203.7213,6.4273
0.0870,200.0000,203.6841,6.4267
0.0880,200.0000,203.6475,6.4266
0.0890,200.0000,203.6111,6.4257
0.0900,200.0000,203.5753,6.4254
0.0910,200.0000,203.5395,6.4245
0.0920,200.0000,203.5044,6.4248
0.0930,200.0000,203.4693,6.4234
0.0940,200.0000,203.4350,6.4238
0.0950,200.0000,203.4006,6.4223
0.0960,200.0000,203.3669,6.4226
0.0970,200.0000,203.3333,6.4214
0.0980,200.0000,203.3002,6.4214
0.0990,200.0000,203.2674,6.4206
0.1000,200.0000,203.2347,6.4201
0.1010,200.0000,203.2027,6.4203
0.1020,200.0000,203.1706,6.4189
0.1030,200.0000,203.1392,6.4193
0.1040,200.0000,203.1079,6.4180
0.1050,200.0000,203.0770,6.4180
0.1060,200.0000,203.0464,6.4176
0.1070,200.0000,203.0159,6.4167
0.1080,200.0000,202.9861,6.4171
0.1090,200.0000,202.9563,6.4157
0.1100,200.0000,202.9268,6.4157
0.1110,200.0000,202.8978,6.4155
0.1120,200.0000,202.8688,6.4144
0.1130,200.0000,202.8404,6.4147
0.1140,200.0000,202.8121,6.4137
0.1150,200.0000,202.7839,6.4134
0.1160,200.0000,202.7564,6.4138
0.1170,200.0000,202.7289,6.4123
0.1180,200.0000,202.7016,6.4124
0.1190,200.0000,202.6749,6.4123
0.1200,200.0000,202.6482,6.4111
0.1210,200.0000,202.6218,6.4113
0.1220,200.0000,202.5959,6.4109
0.1230,200.0000,202.5699,6.4100
0.1240,200.0000,202.5443,6.4102
0.1250,200.0000,202.5191,6.4097
0.1260,200.0000,202.4940,6.4088
0.1270,200.0000,202.4691,6.4090
0.1280,200.0000,202.4447,6.4087
0.1290,200.0000,202.4203,6.4077
0.1300,200.0000,202.3960,6.4079
0.1310,200.0000,202.3724,6.4078
0.1320,200.0000,202.3487,6.4066
0.1330,200.0000,202.3251,6.4067
0.1340,200.0000,202.3022,6.4071
0.1350,200.0000,202.2793,6.4055
0.1360,200.0000,202.2564,6.4056
0.1370,200.0000,202.2341,6.4059
0.1380,200.0000,202.2120,6.4047
0.1390,200.0000,202.1899,6.4043
0.1400,200.0000,202.1679,6.4046
0.1410,200.0000,202.1466,6.4044
0.1420,200.0000,202.1252,6.4032
0.1430,200.0000,202.1039,6.4033
0.1440,200.0000,202.0830,6.4036
0.1450,200.0000,202.0624,6.4025
0.1460,200.0000,202.0418,6.4020
0.1470,200.0000,202.0212,6.4022
0.1480,200.0000,202.0014,6.4026
0.1490,200.0000,201.9815,6.4010
0.1500,200.0000,201.9617,6.4010
0.1510,200.0000,201.9420,6.4012
0.1520,200.0000,201.9229,6.4012
0.1530,200.0000,201.9038,6.3998
0.1540,200.0000,201.8848,6.3998
0.1550,200.0000,201.8658,6.4001
0.1560,200.0000,201.8475,6.4001
0.1570,200.0000,201.8292,6.3987
0.1580,200.0000,201.8109,6.3987
0.1590,200.0000,201.7926,6.3989
0.1600,200.0000,201.7750,6.3993
0.1610,200.0000,201.7574,6.3976
0.1620,200.0000,201.7399,6.3976
0.1630,200.0000,201.7223,6.3977
0.1640,200.0000,201.7053,6.3980
0.1650,200.0000,201.6886,6.3969
0.1660,200.0000,201.6714,6.3963
