t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,200.3198,4.7974
0.0420,200.0000,197.2440,-2.5587
0.0430,200.0000,197.1513,12.0000
0.0440,200.0000,200.0111,12.0000
0.0450,200.0000,199.2661,-0.0887
0.0460,200.0000,197.8799,5.8713
0.0470,200.0000,199.4808,12.0000
0.0480,200.0000,199.9643,4.1534
0.0490,200.0000,197.6517,0.2855
0.0500,200.0000,198.1525,12.0000
0.0510,200.0000,201.0734,12.0000
0.0520,200.0000,197.5475,-8.5873
0.0530,200.0000,196.3300,12.0000
0.0540,200.0000,199.0567,12.0000
0.0550,200.0000,200.7999,7.5460
0.0560,200.0000,197.0548,-6.3988
0.0570,200.0000,196.2020,12.0000
0.0580,200.0000,198.9782,12.0000
0.0590,200.0000,200.9340,8.1746
0.0600,200.0000,196.9751,-7.4717
0.0610,200.0000,195.9069,12.0000
0.0620,200.0000,198.6598,12.0000
0.0630,200.0000,201.4484,10.7213
0.0640,200.0000,196.6957,-11.5869
0.0650,200.0000,194.8043,12.0000
0.0660,200.0000,197.4678,12.0000
0.0670,200.0000,200.6809,12.0000
0.0680,200.0000,198.2234,-5.4469
0.0690,200.0000,197.6870,12.0000
0.0700,200.0000,200.4805,12.0000
0.0710,200.0000,198.4945,-3.8439
0.0720,200.0000,198.2972,12.0000
0.0730,200.0000,201.1251,12.0000
0.0740,200.0000,197.4514,-9.0005
0.0750,200.0000,196.1435,12.0000
0.0760,200.0000,198.8615,12.0000
0.0770,200.0000,201.1160,9.1078
0.0780,200.0000,196.8824,-8.9282
0.0790,200.0000,195.5235,12.0000
0.0800,200.0000,198.2448,12.0000
0.0810,200.0000,201.4529,12.0000
0.0820,200.0000,196.9681,-11.6228
0.0830,200.0000,195.1009,12.0000
0.0840,200.0000,197.7628,12.0000
0.0850,200.0000,200.9709,12.0000
0.0860,200.0000,197.7514,-7.7671
0.0870,200.0000,196.7149,12.0000
0.0880,200.0000,199.4590,12.0000
0.0890,200.0000,200.1482,4.3276
0.0900,200.0000,197.4102,-1.1858
0.0910,200.0000,197.6005,12.0000
0.0920,200.0000,200.4899,12.0000
0.0930,200.0000,198.4917,-3.9191
0.0940,200.0000,198.2796,12.0000
0.0950,200.0000,201.1059,12.0000
0.0960,200.0000,197.4823,-8.8469
0.0970,200.0000,196.2075,12.0000
0.0980,200.0000,198.9287,12.0000
0.0990,200.0000,201.0072,8.5703
0.1000,200.0000,196.9417,-8.0576
0.1010,200.0000,195.7570,12.0000
0.1020,200.0000,198.4972,12.0000
0.1030,200.0000,201.7037,12.0000
0.1040,200.0000,197.0917,-12.0000
0.1050,200.0000,195.1394,12.0000
0.1060,200.0000,197.7897,12.0000
0.1070,200.0000,200.9958,12.0000
0.1080,200.0000,197.7106,-7.9666
0.1090,200.0000,196.6311,12.0000
0.1100,200.0000,199.3710,12.0000
0.1110,200.0000,200.2908,5.0320
0.1120,200.0000,197.3325,-2.3263
0.1130,200.0000,197.2946,12.0000
0.1140,200.0000,200.1592,12.0000
0.1150,200.0000,199.0259,-1.2738
0.1160,200.0000,198.0112,7.7926
0.1170,200.0000,199.9966,12.0000
0.1180,200.0000,199.1760,0.0275
0.1190,200.0000,198.0370,6.5923
0.1200,200.0000,199.7945,12.0000
0.1210,200.0000,199.4748,1.6437
0.1220,200.0000,197.9010,4.2018
0.1230,200.0000,199.1833,12.0000
0.1240,200.0000,200.4063,6.5333
0.1250,200.0000,197.4485,-3.2507
0.1260,200.0000,197.2460,12.0000
0.1270,200.0000,200.0901,12.0000
0.1280,200.0000,199.1356,-0.7205
0.1290,200.0000,197.9536,6.9153
0.1300,200.0000,199.7637,12.0000
0.1310,200.0000,199.5317,1.8904
0.1320,200.0000,197.8634,3.7466
0.1330,200.0000,199.0539,12.0000
0.1340,200.0000,200.6047,7.5685
0.1350,200.0000,197.3509,-4.8376
0.1360,200.0000,196.8321,12.0000
0.1370,200.0000,199.6416,12.0000
0.1380,200.0000,199.8600,2.8669
0.1390,200.0000,197.5602,1.1196
0.1400,200.0000,198.2109,12.0000
0.1410,200.0000,201.1504,12.0000
0.1420,200.0000,197.4248,-9.2031
0.1430,200.0000,196.0748,12.0000
0.1440,200.0000,198.7884,12.0000
0.1450,200.0000,201.2343,9.6927
0.1460,200.0000,196.8181,-9.8740
0.1470,200.0000,195.2700,12.0000
0.1480,200.0000,197.9708,12.0000
0.1490,200.0000,201.1806,12.0000
0.1500,200.0000,197.4109,-9.4445
0.1510,200.0000,196.0130,12.0000
0.1520,200.0000,198.7213,12.0000
0.1530,200.0000,201.3426,10.2295
0.1540,200.0000,196.7592,-10.7411
0.1550,200.0000,195.0377,12.0000
0.1560,200.0000,197.7196,12.0000
0.1570,200.0000,200.9310,12.0000
0.1580,200.0000,197.8168,-7.4476
0.1590,200.0000,196.8492,12.0000
0.1600,200.0000,199.6001,12.0000
0.1610,200.0000,199.9199,3.1995
0.1620,200.0000,197.5347,0.6407
0.1630,200.0000,198.0904,12.0000
0.1640,200.0000,201.0195,12.0000
0.1650,200.0000,197.6362,-8.1556
