t,setpoint,omega,u
0.1390,200.0000,200.9181,6.3987
0.1400,200.0000,200.9165,6.3987
0.1410,200.0000,200.9150,6.3984
0.1420,200.0000,200.9128,6.3981
0.1430,200.0000,200.9110,6.3985
0.1440,200.0000,200.9095,6.3984
0.1450,200.0000,200.9080,6.3981
0.1460,200.0000,200.9057,6.3978
0.1470,200.0000,200.9039,6.3983
0.1480,200.0000,200.9024,6.3982
0.1490,200.0000,200.9009,6.3979
0.1500,200.0000,200.8987,6.3977
0.1510,200.0000,200.8970,6.3981
0.1520,200.0000,200.8955,6.3980
0.1530,200.0000,200.8940,6.3977
0.1540,200.0000,200.8917,6.3974
0.1550,200.0000,200.8900,6.3979
0.1560,200.0000,200.8885,6.3978
0.1570,200.0000,200.8870,6.3975
0.1580,200.0000,200.8849,6.3973
0.1590,200.0000,200.8833,6.3976
0.1600,200.0000,200.8817,6.3975
0.1610,200.0000,200.8802,6.3973
0.1620,200.0000,200.8780,6.3970
0.1630,200.0000,200.8763,6.3975
0.1640,200.0000,200.8748,6.3974
0.1650,200.0000,200.8733,6.3972
0.1660,200.0000,200.8717,6.3970
0.1670,200.0000,200.8695,6.3967
0.1680,200.0000,200.8678,6.3973
0.1690,200.0000,200.8663,6.3972
0.1700,200.0000,200.8647,6.3970
0.1710,200.0000,200.8632,6.3968
0.1720,200.0000,200.8612,6.3966
0.1730,200.0000,200.8596,6.3969
0.1740,200.0000,200.8581,6.3967
0.1750,200.0000,200.8566,6.3965
0.1760,200.0000,200.8544,6.3963
0.1770,200.0000,200.8528,6.3968
0.1780,200.0000,200.8513,6.3967
0.1790,200.0000,200.8498,6.3965
0.1800,200.0000,200.8483,6.3963
0.1810,200.0000,200.8467,6.3962
0.1820,200.0000,200.8445,6.3960
0.1830,200.0000,200.8429,6.3966
0.1840,200.0000,200.8413,6.3965
0.1850,200.0000,200.8398,6.3963
0.1860,200.0000,200.8383,6.3962
0.1870,200.0000,200.8368,6.3960
0.1880,200.0000,200.8352,6.3959
0.1890,200.0000,200.8333,6.3957
0.1900,200.0000,200.8318,6.3960
0.1910,200.0000,200.8303,6.3958
0.1920,200.0000,200.8288,6.3957
0.1930,200.0000,200.8272,6.3956
0.1940,200.0000,200.8250,6.3954
0.1950,200.0000,200.8235,6.3960
0.1960,200.0000,200.8220,6.3959
0.1970,200.0000,200.8204,6.3958
