t,setpoint,omega,u
0.1390,200.0000,202.1242,6.4044
0.1400,200.0000,202.1036,6.4042
0.1410,200.0000,202.0830,6.4035
0.1420,200.0000,202.0624,6.4033
0.1430,200.0000,202.0422,6.4032
0.1440,200.0000,202.0224,6.4028
0.1450,200.0000,202.0025,6.4023
0.1460,200.0000,201.9827,6.4021
0.1470,200.0000,201.9633,6.4021
0.1480,200.0000,201.9442,6.4016
0.1490,200.0000,201.9251,6.4011
0.1500,200.0000,201.9061,6.4009
0.1510,200.0000,201.8874,6.4009
0.1520,200.0000,201.8691,6.4005
0.1530,200.0000,201.8508,6.4000
0.1540,200.0000,201.8325,6.3998
0.1550,200.0000,201.8144,6.3998
0.1560,200.0000,201.7968,6.3996
0.1570,200.0000,201.7793,6.3989
0.1580,200.0000,201.7617,6.3987
0.1590,200.0000,201.7442,6.3986
0.1600,200.0000,201.7273,6.3987
0.1610,200.0000,201.7105,6.3979
0.1620,200.0000,201.6937,6.3976
0.1630,200.0000,201.6770,6.3974
0.1640,200.0000,201.6604,6.3974
0.1650,200.0000,201.6443,6.3973
0.1660,200.0000,201.6283,6.3966
0.1670,200.0000,201.6123,6.3964
0.1680,200.0000,201.5963,6.3963
0.1690,200.0000,201.5806,6.3963
0.1700,200.0000,201.5654,6.3960
0.1710,200.0000,201.5501,6.3954
0.1720,200.0000,201.5349,6.3952
0.1730,200.0000,201.5196,6.3951
0.1740,200.0000,201.5046,6.3951
0.1750,200.0000,201.4901,6.3950
0.1760,200.0000,201.4756,6.3943
0.1770,200.0000,201.4611,6.3940
0.1780,200.0000,201.4466,6.3939
0.1790,200.0000,201.4321,6.3940
0.1800,200.0000,201.4184,6.3941
0.1810,200.0000,201.4046,6.3933
0.1820,200.0000,201.3909,6.3930
0.1830,200.0000,201.3772,6.3928
0.1840,200.0000,201.3634,6.3928
0.1850,200.0000,201.3501,6.3929
0.1860,200.0000,201.3371,6.3926
0.1870,200.0000,201.3241,6.3920
0.1880,200.0000,201.3112,6.3917
0.1890,200.0000,201.2982,6.3915
0.1900,200.0000,201.2852,6.3915
0.1910,200.0000,201.2725,6.3917
0.1920,200.0000,201.2603,6.3915
0.1930,200.0000,201.2481,6.3908
0.1940,200.0000,201.2359,6.3906
0.1950,200.0000,201.2237,6.3904
0.1960,200.0000,201.2115,6.3904
0.1970,200.0000,201.1993,6.3905
0.1980,200.0000,201.1879,6.3907
0.1990,200.0000,201.1764,6.3899
0.2000,200.0000,201.1650,6.3895
0.2010,200.0000,201.1535,6.3893
0.2020,200.0000,201.1421,6.3892
0.2030,200.0000,201.1306,6.3893
0.2040,200.0000,201.1195,6.3894
0.2050,200.0000,201.1088,6.3892
0.2060,200.0000,201.0981,6.3886
0.2070,200.0000,201.0874,6.3883
0.2080,200.0000,201.0768,6.3881
0.2090,200.0000,201.0661,6.3880
0.2100,200.0000,201.0554,6.3880
0.2110,200.0000,201.0447,6.3881
0.2120,200.0000,201.0348,6.3884
0.2130,200.0000,201.0249,6.3876
0.2140,200.0000,201.0149,6.3873
0.2150,200.0000,201.0050,6.3870
0.2160,200.0000,200.9951,6.3869
0.2170,200.0000,200.9852,6.3869
0.2180,200.0000,200.9753,6.3869
0.2190,200.0000,200.9656,6.3871
0.2200,200.0000,200.9565,6.3869
0.2210,200.0000,200.9473,6.3863
0.2220,200.0000,200.9375,6.3860
0.2230,200.0000,200.9283,6.3868
0.2240,200.0000,200.9191,6.3863
0.2250,200.0000,200.9100,6.3863
0.2260,200.0000,200.9013,6.3864
0.2270,200.0000,200.8925,6.3858
0.2280,200.0000,200.8841,6.3858
0.2290,200.0000,200.8751,6.3851
0.2300,200.0000,200.8666,6.3857
0.2310,200.0000,200.8582,6.3852
0.2320,200.0000,200.8498,6.3850
0.2330,200.0000,200.8414,6.3849
0.2340,200.0000,200.8330,6.3849
0.2350,200.0000,200.8246,6.3849
0.2360,200.0000,200.8168,6.3851
0.2370,200.0000,200.8088,6.3844
0.2380,200.0000,200.8010,6.3845
0.2390,200.0000,200.7934,6.3841
0.2400,200.0000,200.7852,6.3837
0.2410,200.0000,200.7775,6.3844
0.2420,200.0000,200.7699,6.3840
0.2430,200.0000,200.7623,6.3839
0.2440,200.0000,200.7546,6.3839
0.2450,200.0000,200.7473,6.3840
0.2460,200.0000,200.7404,6.3838
0.2470,200.0000,200.7328,6.3830
0.2480,200.0000,200.7257,6.3835
0.2490,200.0000,200.7188,6.3833
0.2500,200.0000,200.7119,6.3828
0.2510,200.0000,200.7051,6.3825
0.2520,200.0000,200.6982,6.3823
0.2530,200.0000,200.6913,6.3822
0.2540,200.0000,200.6845,6.3822
0.2550,200.0000,200.6776,6.3822
0.2560,200.0000,200.6707,6.3823
0.2570,200.0000,200.6639,6.3825
0.2580,200.0000,200.6576,6.3827
0.2590,200.0000,200.6512,6.3820
0.2600,200.0000,200.6449,6.3820
0.2610,200.0000,200.6388,6.3819
0.2620,200.0000,200.6324,6.3815
0.2630,200.0000,200.6263,6.3816
0.2640,200.0000,200.6202,6.3814
0.2650,200.0000,200.6141,6.3813
0.2660,200.0000,200.6080,6.3812
0.2670,200.0000,200.6019,6.3812
0.2680,200.0000,200.5958,6.3813
0.2690,200.0000,200.5897,6.3815
0.2700,200.0000,200.5843,6.3817
0.2710,200.0000,200.5785,6.3808
0.2720,200.0000,200.5728,6.3811
0.2730,200.0000,200.5675,6.3810
0.2740,200.0000,200.5617,6.3805
0.2750,200.0000,200.5563,6.3808
0.2760,200.0000,200.5510,6.3805
0.2770,200.0000,200.5457,6.3803
0.2780,200.0000,200.5403,6.3801
0.2790,200.0000,200.5350,6.3801
0.2800,200.0000,200.5296,6.3801
0.2810,200.0000,200.5243,6.3801
0.2820,200.0000,200.5190,6.3802
0.2830,200.0000,200.5136,6.3804
0.2840,200.0000,200.5090,6.3806
0.2850,200.0000,200.5039,6.3797
0.2860,200.0000,200.4989,6.3800
0.2870,200.0000,200.4943,6.3800
0.2880,200.0000,200.4893,6.3794
0.2890,200.0000,200.4846,6.3798
0.2900,200.0000,200.4800,6.3795
0.2910,200.0000,200.4754,6.3792
0.2920,200.0000,200.4709,6.3790
0.2930,200.0000,200.4663,6.3789
0.2940,200.0000,200.4617,6.3788
0.2950,200.0000,200.4571,6.3788
0.2960,200.0000,200.4525,6.3788
0.2970,200.0000,200.4480,6.3788
0.2980,200.0000,200.4434,6.3789
0.2990,200.0000,200.4388,6.3791
0.3000,200.0000,200.4345,6.3792
0.3010,200.0000,200.4307,6.3791
0.3020,200.0000,200.4262,6.3783
0.3030,200.0000,200.4219,6.3790
0.3040,200.0000,200.4181,6.3789
0.3050,200.0000,200.4138,6.3783
0.3060,200.0000,200.4098,6.3787
0.3070,200.0000,200.4060,6.3784
0.3080,200.0000,200.4022,6.3781
0.3090,200.0000,200.3976,6.3779
0.3100,200.0000,200.3938,6.3788
0.3110,200.0000,200.3900,6.3784
0.3120,200.0000,200.3861,6.3783
0.3130,200.0000,200.3823,6.3782
0.3140,200.0000,200.3785,6.3782
0.3150,200.0000,200.3747,6.3783
0.3160,200.0000,200.3709,6.3783
0.3170,200.0000,200.3675,6.3784
0.3180,200.0000,200.3638,6.3779
0.3190,200.0000,200.3602,6.3781
0.3200,200.0000,200.3571,6.3782
0.3210,200.0000,200.3534,6.3773
0.3220,200.0000,200.3497,6.3778
0.3230,200.0000,200.3466,6.3780
0.3240,200.0000,200.3432,6.3773
0.3250,200.0000,200.3398,6.3776
0.3260,200.0000,200.3367,6.3775
0.3270,200.0000,200.3331,6.3770
0.3280,200.0000,200.3299,6.3776
0.3290,200.0000,200.3269,6.3772
0.3300,200.0000,200.3238,6.3770
0.3310,200.0000,200.3203,6.3768
0.3320,200.0000,200.3172,6.3773
0.3330,200.0000,200.3142,6.3770
0.3340,200.0000,200.3111,6.3769
0.3350,200.0000,200.3081,6.3768
0.3360,200.0000,200.3050,6.3768
0.3370,200.0000,200.3020,6.3768
0.3380,200.0000,200.2989,6.3768
0.3390,200.0000,200.2959,6.3769
0.3400,200.0000,200.2928,6.3770
0.3410,200.0000,200.2898,6.3771
0.3420,200.0000,200.2874,6.3773
0.3430,200.0000,200.2845,6.3764
0.3440,200.0000,200.2814,6.3768
0.3450,200.0000,200.2790,6.3771
0.3460,200.0000,200.2762,6.3764
0.3470,200.0000,200.2733,6.3767
0.3480,200.0000,200.2710,6.3768
0.3490,200.0000,200.2682,6.3761
0.3500,200.0000,200.2655,6.3766
0.3510,200.0000,200.2633,6.3764
0.3520,200.0000,200.2604,6.3759
0.3530,200.0000,200.2579,6.3765
0.3540,200.0000,200.2556,6.3762
0.3550,200.0000,200.2528,6.3758
0.3560,200.0000,200.2505,6.3763
0.3570,200.0000,200.2482,6.3760
0.3580,200.0000,200.2459,6.3757
0.3590,200.0000,200.2429,6.3756
0.3600,200.0000,200.2406,6.3764
0.3610,200.0000,200.2383,6.3760
0.3620,200.0000,200.2360,6.3759
0.3630,200.0000,200.2337,6.3758
0.3640,200.0000,200.2315,6.3758
0.3650,200.0000,200.2292,6.3758
0.3660,200.0000,200.2269,6.3758
0.3670,200.0000,200.2246,6.3758
0.3680,200.0000,200.2223,6.3758
0.3690,200.0000,200.2200,6.3759
0.3700,200.0000,200.2177,6.3760
0.3710,200.0000,200.2154,6.3761
0.3720,200.0000,200.2139,6.3762
0.3730,200.0000,200.2117,6.3753
0.3740,200.0000,200.2094,6.3757
0.3750,200.0000,200.2074,6.3759
0.3760,200.0000,200.2058,6.3758
0.3770,200.0000,200.2036,6.3750
0.3780,200.0000,200.2013,6.3756
0.3790,200.0000,200.1996,6.3759
0.3800,200.0000,200.1976,6.3752
0.3810,200.0000,200.1954,6.3755
0.3820,200.0000,200.1939,6.3757
0.3830,200.0000,200.1918,6.3750
0.3840,200.0000,200.1899,6.3754
0.3850,200.0000,200.1884,6.3754
0.3860,200.0000,200.1862,6.3748
0.3870,200.0000,200.1845,6.3754
0.3880,200.0000,200.1829,6.3751
0.3890,200.0000,200.1808,6.3747
0.3900,200.0000,200.1791,6.3754
0.3910,200.0000,200.1776,6.3750
0.3920,200.0000,200.1756,6.3747
0.3930,200.0000,200.1740,6.3751
0.3940,200.0000,200.1725,6.3748
0.3950,200.0000,200.1706,6.3746
0.3960,200.0000,200.1690,6.3750
0.3970,200.0000,200.1675,6.3747
0.3980,200.0000,200.1659,6.3745
0.3990,200.0000,200.1639,6.3744
0.4000,200.0000,200.1623,6.3751
0.4010,200.0000,200.1608,6.3747
0.4020,200.0000,200.1593,6.3747
0.4030,200.0000,200.1578,6.3746
0.4040,200.0000,200.1562,6.3745
0.4050,200.0000,200.1547,6.3745
0.4060,200.0000,200.1532,6.3745
0.4070,200.0000,200.1517,6.3745
0.4080,200.0000,200.1501,6.3745
0.4090,200.0000,200.1486,6.3745
0.4100,200.0000,200.1471,6.3745
0.4110,200.0000,200.1456,6.3746
0.4120,200.0000,200.1440,6.3747
0.4130,200.0000,200.1425,6.3748
0.4140,200.0000,200.1410,6.3749
0.4150,200.0000,200.1395,6.3750
0.4160,200.0000,200.1386,6.3751
0.4170,200.0000,200.1372,6.3742
0.4180,200.0000,200.1357,6.3746
0.4190,200.0000,200.1341,6.3748
0.4200,200.0000,200.1333,6.3750
0.4210,200.0000,200.1319,6.3742
0.4220,200.0000,200.1303,6.3745
0.4230,200.0000,200.1293,6.3748
0.4240,200.0000,200.1279,6.3743
0.4250,200.0000,200.1264,6.3746
0.4260,200.0000,200.1256,6.3749
0.4270,200.0000,200.1243,6.3740
0.4280,200.0000,200.1228,6.3744
0.4290,200.0000,200.1219,6.3748
0.4300,200.0000,200.1207,6.3741
0.4310,200.0000,200.1192,6.3743
0.4320,200.0000,200.1184,6.3748
0.4330,200.0000,200.1172,6.3740
0.4340,200.0000,200.1157,6.3742
0.4350,200.0000,200.1149,6.3747
0.4360,200.0000,200.1140,6.3740
0.4370,200.0000,200.1125,6.3739
0.4380,200.0000,200.1116,6.3746
0.4390,200.0000,200.1108,6.3741
0.4400,200.0000,200.1093,6.3736
0.4410,200.0000,200.1083,6.3744
0.4420,200.0000,200.1076,6.3740
0.4430,200.0000,200.1062,6.3736
0.4440,200.0000,200.1052,6.3743
