t,setpoint,omega,u
0.1390,200.0000,194.9438,5.5374
0.1400,200.0000,194.5380,5.2393
0.1410,200.0000,194.5049,6.7762
0.1420,200.0000,194.1714,4.8757
0.1430,200.0000,193.2301,4.1415
0.1440,200.0000,192.5748,5.6107
0.1450,200.0000,192.2313,5.6274
0.1460,200.0000,192.0849,6.0817
0.1470,200.0000,192.0801,6.1850
0.1480,200.0000,192.4687,7.2783
0.1490,200.0000,193.1799,7.5398
0.1500,200.0000,193.5627,6.2980
0.1510,200.0000,193.1097,4.5553
0.1520,200.0000,193.5890,8.6655
0.1530,200.0000,194.7853,8.2971
0.1540,200.0000,195.2239,5.9457
0.1550,200.0000,194.6178,4.3352
0.1560,200.0000,193.7473,4.7810
0.1570,200.0000,193.9137,7.7820
0.1580,200.0000,194.0603,5.6961
0.1590,200.0000,193.8024,5.5970
0.1600,200.0000,193.3944,5.3391
0.1610,200.0000,192.8128,4.9856
0.1620,200.0000,192.4508,5.8903
0.1630,200.0000,193.1100,8.4279
0.1640,200.0000,194.3521,8.4704
0.1650,200.0000,194.4213,4.6800
0.1660,200.0000,193.4116,3.8890
0.1670,200.0000,192.9010,6.2269
0.1680,200.0000,192.6279,5.4689
0.1690,200.0000,193.5144,9.3255
0.1700,200.0000,193.9684,5.4988
0.1710,200.0000,193.6899,5.5133
0.1720,200.0000,193.1367,4.9414
0.1730,200.0000,193.2961,7.5173
0.1740,200.0000,193.3386,5.4923
0.1750,200.0000,193.7229,7.6820
0.1760,200.0000,194.7066,8.2207
0.1770,200.0000,194.3794,3.7198
0.1780,200.0000,193.4807,4.9036
0.1790,200.0000,192.8515,5.2746
0.1800,200.0000,193.4526,8.7083
0.1810,200.0000,194.6838,8.3257
0.1820,200.0000,195.5414,7.1962
0.1830,200.0000,195.5397,5.3617
0.1840,200.0000,194.6387,3.9373
0.1850,200.0000,194.3990,7.0483
0.1860,200.0000,194.3823,5.7773
0.1870,200.0000,193.5840,3.9772
0.1880,200.0000,193.4954,7.3973
0.1890,200.0000,194.3987,8.3048
0.1900,200.0000,195.1842,7.1032
0.1910,200.0000,194.6313,3.7334
0.1920,200.0000,193.2970,3.6630
0.1930,200.0000,192.4392,5.4079
0.1940,200.0000,192.6994,7.6618
0.1950,200.0000,193.6634,8.1705
0.1960,200.0000,193.8518,5.2842
0.1970,200.0000,194.1643,7.5415
0.1980,200.0000,193.8738,4.4400
0.1990,200.0000,192.8997,4.2443
0.2000,200.0000,192.9149,7.6075
0.2010,200.0000,193.1696,6.1332
0.2020,200.0000,193.5540,7.2435
0.2030,200.0000,193.5310,5.3623
0.2040,200.0000,193.2487,5.7441
0.2050,200.0000,193.4225,7.0256
0.2060,200.0000,194.2621,8.2023
0.2070,200.0000,194.0470,4.1090
0.2080,200.0000,193.1200,4.5461
0.2090,200.0000,193.2468,7.7790
0.2100,200.0000,194.1083,7.8728
0.2110,200.0000,194.0386,4.7167
0.2120,200.0000,193.8206,6.3332
0.2130,200.0000,193.6481,5.6486
0.2140,200.0000,194.0628,7.7920
0.2150,200.0000,193.7480,4.1846
0.2160,200.0000,193.8630,7.7249
0.2170,200.0000,194.6490,7.7055
0.2180,200.0000,194.4385,4.4320
0.2190,200.0000,194.1413,6.3200
0.2200,200.0000,193.5520,4.4250
0.2210,200.0000,193.2859,6.5266
0.2220,200.0000,193.7650,7.5348
0.2230,200.0000,194.5472,7.6463
0.2240,200.0000,194.3636,4.5428
0.2250,200.0000,194.0349,6.1492
0.2260,200.0000,194.1488,6.6805
0.2270,200.0000,193.9314,5.2073
0.2280,200.0000,194.3275,8.0047
0.2290,200.0000,194.0537,4.2157
