t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,192.6774,12.0000
0.0390,200.0000,196.0702,12.0000
0.0400,200.0000,199.4003,12.0000
0.0410,200.0000,201.7785,9.2695
0.0420,200.0000,203.0432,7.8256
0.0430,200.0000,203.8294,7.6440
0.0440,200.0000,204.3960,7.2979
0.0450,200.0000,204.7365,6.9069
0.0460,200.0000,204.9206,6.7451
0.0470,200.0000,205.0279,6.6683
0.0480,200.0000,205.0836,6.5875
0.0490,200.0000,205.0995,6.5325
0.0500,200.0000,205.0915,6.5054
0.0510,200.0000,205.0696,6.4864
0.0520,200.0000,205.0380,6.4716
0.0530,200.0000,205.0000,6.4625
0.0540,200.0000,204.9584,6.4567
0.0550,200.0000,204.9146,6.4525
0.0560,200.0000,204.8694,6.4494
0.0570,200.0000,204.8236,6.4473
0.0580,200.0000,204.7772,6.4454
0.0590,200.0000,204.7311,6.4446
0.0600,200.0000,204.6853,6.4431
0.0610,200.0000,204.6396,6.4417
0.0620,200.0000,204.5938,6.4411
0.0630,200.0000,204.5488,6.4409
0.0640,200.0000,204.5040,6.4397
0.0650,200.0000,204.4597,6.4393
0.0660,200.0000,204.4158,6.4384
0.0670,200.0000,204.3723,6.4378
0.0680,200.0000,204.3293,6.4371
0.0690,200.0000,204.2865,6.4364
0.0700,200.0000,204.2444,6.4359
0.0710,200.0000,204.2025,6.4350
0.0720,200.0000,204.1612,6.4348
0.0730,200.0000,204.1200,6.4337
0.0740,200.0000,204.0796,6.4337
0.0750,200.0000,204.0392,6.4326
0.0760,200.0000,203.9995,6.4325
0.0770,200.0000,203.9600,6.4314
0.0780,200.0000,203.9211,6.4312
0.0790,200.0000,203.8824,6.4303
0.0800,200.0000,203.8442,6.4301
0.0810,200.0000,203.8062,6.4292
0.0820,200.0000,203.7688,6.4290
0.0830,200.0000,203.7315,6.4280
0.0840,200.0000,203.6949,6.4279
0.0850,200.0000,203.6583,6.4269
0.0860,200.0000,203.6225,6.4269
0.0870,200.0000,203.5866,6.4258
0.0880,200.0000,203.5514,6.4258
0.0890,200.0000,203.5163,6.4248
0.0900,200.0000,203.4818,6.4246
0.0910,200.0000,203.4474,6.4238
0.0920,200.0000,203.4135,6.4235
0.0930,200.0000,203.3799,6.4230
0.0940,200.0000,203.3464,6.4223
0.0950,200.0000,203.3136,6.4222
0.0960,200.0000,203.2808,6.4212
0.0970,200.0000,203.2486,6.4212
0.0980,200.0000,203.2166,6.4203
0.0990,200.0000,203.1848,6.4200
0.1000,200.0000,203.1535,6.4196
0.1010,200.0000,203.1223,6.4189
0.1020,200.0000,203.0917,6.4190
0.1030,200.0000,203.0612,6.4179
0.1040,200.0000,203.0310,6.4178
0.1050,200.0000,203.0012,6.4174
0.1060,200.0000,202.9715,6.4167
0.1070,200.0000,202.9424,6.4167
0.1080,200.0000,202.9134,6.4157
0.1090,200.0000,202.8845,6.4155
0.1100,200.0000,202.8562,6.4154
0.1110,200.0000,202.8280,6.4144
0.1120,200.0000,202.8001,6.4144
0.1130,200.0000,202.7727,6.4139
0.1140,200.0000,202.7452,6.4132
0.1150,200.0000,202.7182,6.4133
0.1160,200.0000,202.6915,6.4125
0.1170,200.0000,202.6648,6.4121
0.1180,200.0000,202.6387,6.4121
0.1190,200.0000,202.6127,6.4113
0.1200,200.0000,202.5868,6.4109
0.1210,200.0000,202.5615,6.4110
0.1220,200.0000,202.5363,6.4101
0.1230,200.0000,202.5111,6.4098
0.1240,200.0000,202.4865,6.4098
0.1250,200.0000,202.4621,6.4090
0.1260,200.0000,202.4377,6.4086
0.1270,200.0000,202.4137,6.4087
0.1280,200.0000,202.3900,6.4081
0.1290,200.0000,202.3663,6.4075
0.1300,200.0000,202.3429,6.4075
0.1310,200.0000,202.3200,6.4073
0.1320,200.0000,202.2971,6.4064
0.1330,200.0000,202.2743,6.4063
0.1340,200.0000,202.2521,6.4065
0.1350,200.0000,202.2299,6.4054
0.1360,200.0000,202.2078,6.4052
0.1370,200.0000,202.1861,6.4053
0.1380,200.0000,202.1647,6.4048
0.1390,200.0000,202.1433,6.4041
0.1400,200.0000,202.1220,6.4040
0.1410,200.0000,202.1013,6.4042
0.1420,200.0000,202.0807,6.4032
0.1430,200.0000,202.0601,6.4029
0.1440,200.0000,202.0395,6.4029
0.1450,200.0000,202.0197,6.4030
0.1460,200.0000,201.9998,6.4019
0.1470,200.0000,201.9800,6.4018
0.1480,200.0000,201.9604,6.4018
0.1490,200.0000,201.9413,6.4016
0.1500,200.0000,201.9222,6.4007
0.1510,200.0000,201.9032,6.4006
0.1520,200.0000,201.8842,6.4006
0.1530,200.0000,201.8659,6.4006
0.1540,200.0000,201.8476,6.3996
0.1550,200.0000,201.8293,6.3995
0.1560,200.0000,201.8110,6.3995
0.1570,200.0000,201.7934,6.3997
0.1580,200.0000,201.7758,6.3986
0.1590,200.0000,201.7583,6.3983
0.1600,200.0000,201.7408,6.3983
0.1610,200.0000,201.7237,6.3984
0.1620,200.0000,201.7069,6.3977
0.1630,200.0000,201.6901,6.3972
0.1640,200.0000,201.6734,6.3971
0.1650,200.0000,201.6566,6.3971
0.1660,200.0000,201.6405,6.3974
