t,setpoint,omega,u
0.0000,200.0000,3.9139,12.0000
0.0010,200.0000,10.3867,12.0000
0.0020,200.0000,17.0885,12.0000
0.0030,200.0000,23.7128,12.0000
0.0040,200.0000,30.2210,12.0000
0.0050,200.0000,36.6101,12.0000
0.0060,200.0000,42.8814,12.0000
0.0070,200.0000,49.0370,12.0000
0.0080,200.0000,55.0791,12.0000
0.0090,200.0000,61.0098,12.0000
0.0100,200.0000,66.8310,12.0000
0.0110,200.0000,72.5449,12.0000
0.0120,200.0000,78.1534,12.0000
0.0130,200.0000,83.6585,12.0000
0.0140,200.0000,89.0620,12.0000
0.0150,200.0000,94.3659,12.0000
0.0160,200.0000,99.5719,12.0000
0.0170,200.0000,104.6819,12.0000
0.0180,200.0000,109.6977,12.0000
0.0190,200.0000,114.6209,12.0000
0.0200,200.0000,119.4533,12.0000
0.0210,200.0000,124.1966,12.0000
0.0220,200.0000,128.8524,12.0000
0.0230,200.0000,133.4224,12.0000
0.0240,200.0000,137.9080,12.0000
0.0250,200.0000,142.3110,12.0000
0.0260,200.0000,146.6326,12.0000
0.0270,200.0000,150.8747,12.0000
0.0280,200.0000,155.0384,12.0000
0.0290,200.0000,159.1254,12.0000
0.0300,200.0000,163.1370,12.0000
0.0310,200.0000,167.0746,12.0000
0.0320,200.0000,170.9396,12.0000
0.0330,200.0000,174.7332,12.0000
0.0340,200.0000,178.4569,12.0000
0.0350,200.0000,182.1119,12.0000
0.0360,200.0000,185.6995,12.0000
0.0370,200.0000,189.2210,12.0000
0.0380,200.0000,190.7677,6.1447
0.0390,200.0000,190.6470,5.0561
0.0400,200.0000,191.2482,8.5156
0.0410,200.0000,191.2977,4.6982
0.0420,200.0000,191.0549,6.0853
0.0430,200.0000,192.0400,9.2057
0.0440,200.0000,192.7617,6.2730
0.0450,200.0000,193.7097,8.6899
0.0460,200.0000,193.8513,4.8692
0.0470,200.0000,193.3613,5.3235
0.0480,200.0000,192.8961,5.3822
0.0490,200.0000,192.3489,5.0662
0.0500,200.0000,192.9101,8.6410
0.0510,200.0000,193.1715,5.3778
0.0520,200.0000,193.1152,6.2975
0.0530,200.0000,194.2589,9.6040
0.0540,200.0000,194.9156,5.9041
0.0550,200.0000,195.0598,6.5563
0.0560,200.0000,194.4131,3.9903
0.0570,200.0000,193.9109,6.1026
0.0580,200.0000,194.4097,7.9485
0.0590,200.0000,193.9513,3.6433
0.0600,200.0000,194.1694,8.4002
0.0610,200.0000,195.1214,7.8236
0.0620,200.0000,195.4081,5.8492
0.0630,200.0000,193.9375,1.8065
0.0640,200.0000,192.9267,6.0270
0.0650,200.0000,193.2619,7.6424
0.0660,200.0000,194.0443,7.6215
0.0670,200.0000,194.9667,7.9225
0.0680,200.0000,194.8897,4.6851
0.0690,200.0000,194.4578,5.7390
0.0700,200.0000,194.2556,5.9948
0.0710,200.0000,194.6663,7.6344
0.0720,200.0000,193.7876,2.5719
0.0730,200.0000,192.6197,4.8886
0.0740,200.0000,192.9877,8.4055
0.0750,200.0000,193.6977,6.9612
0.0760,200.0000,194.8018,8.8475
0.0770,200.0000,194.0891,2.1564
0.0780,200.0000,193.8070,7.7773
0.0790,200.0000,194.3132,6.9749
0.0800,200.0000,193.8379,4.1090
0.0810,200.0000,193.0577,5.0894
0.0820,200.0000,192.5884,5.5967
0.0830,200.0000,193.5914,9.6896
0.0840,200.0000,194.0475,5.2663
0.0850,200.0000,194.6103,8.2212
0.0860,200.0000,193.7681,2.3035
0.0870,200.0000,193.8743,8.9244
0.0880,200.0000,194.9071,7.8185
0.0890,200.0000,193.9125,1.8812
0.0900,200.0000,192.7446,5.3138
0.0910,200.0000,193.8013,10.2932
0.0920,200.0000,195.0657,7.4074
0.0930,200.0000,194.5680,3.5418
0.0940,200.0000,194.3132,7.0511
0.0950,200.0000,193.4886,3.3008
0.0960,200.0000,193.2011,7.1581
0.0970,200.0000,193.0118,5.1489
0.0980,200.0000,193.2218,7.4095
0.0990,200.0000,194.3246,8.7776
0.1000,200.0000,194.1420,3.7962
0.1010,200.0000,194.4316,8.4367
0.1020,200.0000,194.0253,3.6239
0.1030,200.0000,193.8225,7.1033
0.1040,200.0000,194.6015,8.1440
0.1050,200.0000,195.1337,6.4728
0.1060,200.0000,194.7026,4.5452
0.1070,200.0000,194.4169,6.3951
0.1080,200.0000,193.7307,4.0963
0.1090,200.0000,193.0015,5.3311
0.1100,200.0000,193.5735,8.6357
0.1110,200.0000,194.6810,8.0031
0.1120,200.0000,194.3975,3.9205
0.1130,200.0000,193.5451,4.9208
0.1140,200.0000,192.7218,4.6551
0.1150,200.0000,193.4154,9.3969
0.1160,200.0000,194.8631,8.5792
0.1170,200.0000,194.8163,4.2089
0.1180,200.0000,193.1551,2.2116
0.1190,200.0000,192.7600,7.7333
0.1200,200.0000,193.7056,8.3395
0.1210,200.0000,194.9922,8.5696
0.1220,200.0000,195.3356,5.4807
0.1230,200.0000,194.1343,2.8052
0.1240,200.0000,193.7822,7.4095
0.1250,200.0000,194.2375,7.0439
0.1260,200.0000,194.3771,5.9740
0.1270,200.0000,194.3113,6.0543
0.1280,200.0000,193.5567,3.9779
0.1290,200.0000,192.5323,4.5087
0.1300,200.0000,192.5497,7.4738
0.1310,200.0000,193.4265,8.0937
0.1320,200.0000,193.9068,6.2439
0.1330,200.0000,193.7056,5.3348
0.1340,200.0000,193.1571,5.0223
0.1350,200.0000,192.5202,5.0314
0.1360,200.0000,193.0482,8.6022
0.1370,200.0000,194.1299,7.9336
0.1380,200.0000,195.1605,7.9706
0.1390,200.0000,195.0196,4.4296
0.1400,200.0000,194.2089,4.7475
0.1410,200.0000,194.2698,7.4753
0.1420,200.0000,194.0156,4.6926
0.1430,200.0000,192.9264,3.7473
0.1440,200.0000,192.3426,6.0867
0.1450,200.0000,192.2032,5.9562
0.1460,200.0000,192.1991,6.2577
0.1470,200.0000,192.2327,6.1564
0.1480,200.0000,192.7023,7.5344
0.1490,200.0000,193.4977,7.6388
0.1500,200.0000,193.7283,5.7600
0.1510,200.0000,192.8833,3.7127
0.1520,200.0000,193.5831,9.9412
0.1530,200.0000,195.1989,8.8064
0.1540,200.0000,195.4484,4.9441
0.1550,200.0000,194.2820,3.2449
0.1560,200.0000,193.1828,4.8749
0.1570,200.0000,193.8277,9.2618
0.1580,200.0000,194.2467,5.5375
0.1590,200.0000,193.8388,5.1237
0.1600,200.0000,193.2415,5.0755
0.1610,200.0000,192.5739,4.9323
0.1620,200.0000,192.3360,6.3220
0.1630,200.0000,193.4309,9.4757
0.1640,200.0000,194.9643,8.6405
0.1650,200.0000,194.5549,3.0345
0.1660,200.0000,192.8889,2.9625
